#organism_name	refseq_category	assembly_level	ftp_genome
Pan_troglodytes_polyomavirus_5	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/902/215/GCF_000902215.1_ViralProj183907/GCF_000902215.1_ViralProj183907_genomic.fna.gz
Sulfolobales_Mexican_rudivirus_1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/902/255/GCF_000902255.1_ViralProj179431/GCF_000902255.1_ViralProj179431_genomic.fna.gz
Synechococcus_phage_ACG_2014c	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/902/315/GCF_000902315.1_ViralProj181072/GCF_000902315.1_ViralProj181072_genomic.fna.gz
Lactobacillus_phage_JCL1032	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/902/335/GCF_000902335.1_ViralProj181076/GCF_000902335.1_ViralProj181076_genomic.fna.gz
Lactobacillus_phage_Sha1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/902/375/GCF_000902375.1_ViralProj181084/GCF_000902375.1_ViralProj181084_genomic.fna.gz
Vibrio_phage_vB_VchM_138	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/902/415/GCF_000902415.1_ViralProj181217/GCF_000902415.1_ViralProj181217_genomic.fna.gz
Aeromonas_phage_phiAS7	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/902/435/GCF_000902435.1_ViralProj181221/GCF_000902435.1_ViralProj181221_genomic.fna.gz
Sphingomonas_phage_PAU	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/902/455/GCF_000902455.1_ViralProj181225/GCF_000902455.1_ViralProj181225_genomic.fna.gz
Erwinia_phage_vB_EamP_L1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/902/475/GCF_000902475.1_ViralProj181229/GCF_000902475.1_ViralProj181229_genomic.fna.gz
Cyanophage_S_TIM5	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/902/515/GCF_000902515.1_ViralProj181237/GCF_000902515.1_ViralProj181237_genomic.fna.gz
Campylobacter_virus_CP21	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/902/535/GCF_000902535.1_ViralProj181241/GCF_000902535.1_ViralProj181241_genomic.fna.gz
Murid_betaherpesvirus_8	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/902/655/GCF_000902655.2_ViralProj182227/GCF_000902655.2_ViralProj182227_genomic.fna.gz
Enterobacteria_phage_HK225	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/902/675/GCF_000902675.1_ViralProj183140/GCF_000902675.1_ViralProj183140_genomic.fna.gz
Pseudomonas_phage_AF	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/902/895/GCF_000902895.1_ViralProj184151/GCF_000902895.1_ViralProj184151_genomic.fna.gz
Pteronotus_davyi_polyomavirus_1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/015/GCF_000903015.1_ViralProj185190/GCF_000903015.1_ViralProj185190_genomic.fna.gz
Sulfolobus_virus_STSV2	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/055/GCF_000903055.1_ViralProj185313/GCF_000903055.1_ViralProj185313_genomic.fna.gz
Dickeya_virus_Limestone	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/075/GCF_000903075.1_ViralProj185317/GCF_000903075.1_ViralProj185317_genomic.fna.gz
Caulobacter_virus_Magneto	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/095/GCF_000903095.1_ViralProj179421/GCF_000903095.1_ViralProj179421_genomic.fna.gz
Stenotrophomonas_phage_IME15	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/135/GCF_000903135.1_ViralProj179429/GCF_000903135.1_ViralProj179429_genomic.fna.gz
Vibrio_phage_CP_T1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/155/GCF_000903155.1_ViralProj181062/GCF_000903155.1_ViralProj181062_genomic.fna.gz
Haemophilus_phage_SuMu	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/175/GCF_000903175.1_ViralProj181066/GCF_000903175.1_ViralProj181066_genomic.fna.gz
Escherichia_phage_TL_2011b	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/215/GCF_000903215.1_ViralProj181074/GCF_000903215.1_ViralProj181074_genomic.fna.gz
Bacillus_phage_SP_10	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/255/GCF_000903255.1_ViralProj181082/GCF_000903255.1_ViralProj181082_genomic.fna.gz
Clostridium_phage_phiCP34O	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/275/GCF_000903275.1_ViralProj181211/GCF_000903275.1_ViralProj181211_genomic.fna.gz
Bdellovibrio_phage_phi1422	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/295/GCF_000903295.1_ViralProj181215/GCF_000903295.1_ViralProj181215_genomic.fna.gz
Cyprinid_herpesvirus_1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/355/GCF_000903355.1_ViralProj181227/GCF_000903355.1_ViralProj181227_genomic.fna.gz
Erwinia_phage_vB_EamM_Y2	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/375/GCF_000903375.1_ViralProj181231/GCF_000903375.1_ViralProj181231_genomic.fna.gz
Porcine_astrovirus_3	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/455/GCF_000903455.1_ViralProj181247/GCF_000903455.1_ViralProj181247_genomic.fna.gz
Clostridium_phage_phiCP26F	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/475/GCF_000903475.1_ViralProj181251/GCF_000903475.1_ViralProj181251_genomic.fna.gz
Aeromonas_phage_CC2	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/495/GCF_000903495.1_ViralProj181987/GCF_000903495.1_ViralProj181987_genomic.fna.gz
Ageratum_yellow_vein_India_alphasatellite	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/535/GCF_000903535.1_ViralProj181995/GCF_000903535.1_ViralProj181995_genomic.fna.gz
Enterobacterial_phage_mEp390	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/635/GCF_000903635.1_ViralProj183154/GCF_000903635.1_ViralProj183154_genomic.fna.gz
Chlorocebus_pygerythrus_polyomavirus_1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/695/GCF_000903695.1_ViralProj183709/GCF_000903695.1_ViralProj183709_genomic.fna.gz
Macaca_fascicularis_polyomavirus_1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/715/GCF_000903715.1_ViralProj183904/GCF_000903715.1_ViralProj183904_genomic.fna.gz
Pan_troglodytes_polyomavirus_6	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/735/GCF_000903735.1_ViralProj183908/GCF_000903735.1_ViralProj183908_genomic.fna.gz
Yersinia_phage_phiR201	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/755/GCF_000903755.2_ViralProj184144/GCF_000903755.2_ViralProj184144_genomic.fna.gz
Burkholderia_virus_Bcepmigl	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/775/GCF_000903775.1_ViralProj184149/GCF_000903775.1_ViralProj184149_genomic.fna.gz
Staphylococcus_phage_StB27	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/815/GCF_000903815.1_ViralProj184157/GCF_000903815.1_ViralProj184157_genomic.fna.gz
Cronobacter_phage_ENT47670	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/875/GCF_000903875.1_ViralProj184169/GCF_000903875.1_ViralProj184169_genomic.fna.gz
Cardioderma_cor_polyomavirus_1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/895/GCF_000903895.1_ViralProj185188/GCF_000903895.1_ViralProj185188_genomic.fna.gz
Cronobacter_phage_vB_CskP_GAP227	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/903/995/GCF_000903995.1_ViralProj185316/GCF_000903995.1_ViralProj185316_genomic.fna.gz
Streptococcus_phage_TP_J34	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/075/GCF_000904075.1_ViralProj188154/GCF_000904075.1_ViralProj188154_genomic.fna.gz
Xanthomonas_citri_phage_CP2	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/115/GCF_000904115.1_ViralProj188546/GCF_000904115.1_ViralProj188546_genomic.fna.gz
Caviid_betaherpesvirus_2	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/135/GCF_000904135.1_ViralProj188730/GCF_000904135.1_ViralProj188730_genomic.fna.gz
Synechococcus_phage_S_RIM8_AHR1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/235/GCF_000904235.1_ViralProj192853/GCF_000904235.1_ViralProj192853_genomic.fna.gz
Pelagibacter_phage_HTVC011P	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/255/GCF_000904255.1_ViralProj192867/GCF_000904255.1_ViralProj192867_genomic.fna.gz
Bacillus_virus_Andromeda	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/275/GCF_000904275.1_ViralProj192872/GCF_000904275.1_ViralProj192872_genomic.fna.gz
Rhodobacter_phage_RcapNL	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/295/GCF_000904295.1_ViralProj192926/GCF_000904295.1_ViralProj192926_genomic.fna.gz
Perch_perhabdovirus	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/335/GCF_000904335.1_ViralProj194138/GCF_000904335.1_ViralProj194138_genomic.fna.gz
Vibrio_phage_pYD21_A	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/395/GCF_000904395.1_ViralProj195477/GCF_000904395.1_ViralProj195477_genomic.fna.gz
Vibrio_phage_PWH3a_P1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/415/GCF_000904415.1_ViralProj195481/GCF_000904415.1_ViralProj195481_genomic.fna.gz
Salicola_phage_CGphi29	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/435/GCF_000904435.1_ViralProj195485/GCF_000904435.1_ViralProj195485_genomic.fna.gz
Synechococcus_phage_S_SKS1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/455/GCF_000904455.1_ViralProj195489/GCF_000904455.1_ViralProj195489_genomic.fna.gz
Cellulophaga_phage_phiSM	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/495/GCF_000904495.1_ViralProj195497/GCF_000904495.1_ViralProj195497_genomic.fna.gz
Prochlorococcus_phage_MED4_213	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/535/GCF_000904535.1_ViralProj195505/GCF_000904535.1_ViralProj195505_genomic.fna.gz
Mycobacterium_phage_First	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/575/GCF_000904575.1_ViralProj195529/GCF_000904575.1_ViralProj195529_genomic.fna.gz
Sulfolobales_Mexican_fusellovirus_1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/595/GCF_000904595.1_ViralProj195533/GCF_000904595.1_ViralProj195533_genomic.fna.gz
Ageratum_leaf_curl_betasatellite	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/615/GCF_000904615.1_ViralProj195929/GCF_000904615.1_ViralProj195929_genomic.fna.gz
Ustilaginoidea_virens_RNA_virus_1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/675/GCF_000904675.1_ViralProj196971/GCF_000904675.1_ViralProj196971_genomic.fna.gz
Vibrio_phage_martha_12B12	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/715/GCF_000904715.1_ViralProj198434/GCF_000904715.1_ViralProj198434_genomic.fna.gz
Sunflower_mild_mosaic_virus	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/735/GCF_000904735.1_ViralProj198478/GCF_000904735.1_ViralProj198478_genomic.fna.gz
Red_clover_cryptic_virus_2	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/755/GCF_000904755.1_ViralMultiSegProj198686/GCF_000904755.1_ViralMultiSegProj198686_genomic.fna.gz
Clostridium_phage_phi8074_B1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/815/GCF_000904815.1_ViralProj184148/GCF_000904815.1_ViralProj184148_genomic.fna.gz
Staphylococcus_phage_StB20	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/855/GCF_000904855.1_ViralProj184156/GCF_000904855.1_ViralProj184156_genomic.fna.gz
Cronobacter_phage_ENT39118	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/915/GCF_000904915.1_ViralProj184168/GCF_000904915.1_ViralProj184168_genomic.fna.gz
Chaerephon_polyomavirus_1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/955/GCF_000904955.1_ViralProj185191/GCF_000904955.1_ViralProj185191_genomic.fna.gz
Halovirus_HVTV_1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/075/GCF_000905075.1_ViralProj186952/GCF_000905075.1_ViralProj186952_genomic.fna.gz
Pelagibacter_phage_HTVC008M	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/255/GCF_000905255.1_ViralProj192865/GCF_000905255.1_ViralProj192865_genomic.fna.gz
TTV_like_mini_virus	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/335/GCF_000905335.1_ViralProj193982/GCF_000905335.1_ViralProj193982_genomic.fna.gz
Duvenhage_lyssavirus	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/375/GCF_000905375.1_ViralProj194144/GCF_000905375.1_ViralProj194144_genomic.fna.gz
Psychrobacter_phage_pOW20_A	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/395/GCF_000905395.1_ViralProj195475/GCF_000905395.1_ViralProj195475_genomic.fna.gz
Ostreococcus_lucimarinus_virus_OlV5	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/435/GCF_000905435.1_ViralProj195483/GCF_000905435.1_ViralProj195483_genomic.fna.gz
Synechococcus_phage_S_RIP1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/455/GCF_000905455.1_ViralProj195487/GCF_000905455.1_ViralProj195487_genomic.fna.gz
Vibrio_phage_11895_B1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/495/GCF_000905495.1_ViralProj195495/GCF_000905495.1_ViralProj195495_genomic.fna.gz
Prochlorococcus_phage_P_SSP10	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/515/GCF_000905515.1_ViralProj195499/GCF_000905515.1_ViralProj195499_genomic.fna.gz
Cyanophage_MED4_117	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/535/GCF_000905535.1_ViralProj195503/GCF_000905535.1_ViralProj195503_genomic.fna.gz
Synechococcus_phage_S_SSM4	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/555/GCF_000905555.1_ViralProj195515/GCF_000905555.1_ViralProj195515_genomic.fna.gz
Long_fingered_bat_hepatitis_B_virus	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/615/GCF_000905615.1_ViralProj195535/GCF_000905615.1_ViralProj195535_genomic.fna.gz
Aspergillus_foetidus_dsRNA_mycovirus	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/675/GCF_000905675.1_ViralMultiSegProj186431/GCF_000905675.1_ViralMultiSegProj186431_genomic.fna.gz
Halovirus_HSTV_2	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/695/GCF_000905695.1_ViralProj186951/GCF_000905695.1_ViralProj186951_genomic.fna.gz
Lactobacillus_phage_phiAQ113	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/715/GCF_000905715.1_ViralProj188466/GCF_000905715.1_ViralProj188466_genomic.fna.gz
Elephantid_betaherpesvirus_1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/835/GCF_000905835.1_ViralProj192609/GCF_000905835.1_ViralProj192609_genomic.fna.gz
Pelagibacter_phage_HTVC019P	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/875/GCF_000905875.1_ViralProj192868/GCF_000905875.1_ViralProj192868_genomic.fna.gz
Bacillus_virus_Curly	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/895/GCF_000905895.1_ViralProj192873/GCF_000905895.1_ViralProj192873_genomic.fna.gz
Staphylococcus_phage_StB12	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/915/GCF_000905915.2_ViralProj192927/GCF_000905915.2_ViralProj192927_genomic.fna.gz
Aravan_lyssavirus	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/955/GCF_000905955.1_ViralProj194139/GCF_000905955.1_ViralProj194139_genomic.fna.gz
Sulfitobacter_phage_phiCB2047_B	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/905/995/GCF_000905995.1_ViralProj195474/GCF_000905995.1_ViralProj195474_genomic.fna.gz
Pseudoalteromonas_phage_pYD6_A	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/015/GCF_000906015.1_ViralProj195478/GCF_000906015.1_ViralProj195478_genomic.fna.gz
Micromonas_pusilla_virus_12T	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/035/GCF_000906035.1_ViralProj195482/GCF_000906035.1_ViralProj195482_genomic.fna.gz
Tetraselmis_viridis_virus_S20	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/075/GCF_000906075.1_ViralProj195490/GCF_000906075.1_ViralProj195490_genomic.fna.gz
Vibrio_phage_VBM1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/095/GCF_000906095.1_ViralProj195494/GCF_000906095.1_ViralProj195494_genomic.fna.gz
Cyanophage_KBS_S_2A	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/135/GCF_000906135.1_ViralProj195502/GCF_000906135.1_ViralProj195502_genomic.fna.gz
Cyanophage_P_RSM6	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/155/GCF_000906155.1_ViralProj195506/GCF_000906155.1_ViralProj195506_genomic.fna.gz
Prochlorococcus_phage_P_GSP1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/175/GCF_000906175.1_ViralProj195518/GCF_000906175.1_ViralProj195518_genomic.fna.gz
Human_polyomavirus_12	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/235/GCF_000906235.1_ViralProj195931/GCF_000906235.1_ViralProj195931_genomic.fna.gz
Rose_yellow_vein_virus	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/295/GCF_000906295.1_ViralProj196972/GCF_000906295.1_ViralProj196972_genomic.fna.gz
Pseudomonas_phage_Phi_S1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/315/GCF_000906315.1_ViralProj197298/GCF_000906315.1_ViralProj197298_genomic.fna.gz
Vibrio_phage_henriette_12B8	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/335/GCF_000906335.1_ViralProj198435/GCF_000906335.1_ViralProj198435_genomic.fna.gz
Hop_trefoil_cryptic_virus_2	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/375/GCF_000906375.1_ViralMultiSegProj198687/GCF_000906375.1_ViralMultiSegProj198687_genomic.fna.gz
Simian_mastadenovirus_C	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/395/GCF_000906395.1_ViralProj200956/GCF_000906395.1_ViralProj200956_genomic.fna.gz
Escherichia_phage_phAPEC8	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/475/GCF_000906475.1_ViralProj185315/GCF_000906475.1_ViralProj185315_genomic.fna.gz
Gentian_Kobu_sho_associated_virus	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/635/GCF_000906635.1_ViralProj189210/GCF_000906635.1_ViralProj189210_genomic.fna.gz
Andean_potato_latent_virus	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/715/GCF_000906715.1_ViralProj192611/GCF_000906715.1_ViralProj192611_genomic.fna.gz
Pelagibacter_phage_HTVC010P	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/735/GCF_000906735.1_ViralProj192866/GCF_000906735.1_ViralProj192866_genomic.fna.gz
Vibrio_phage_VvAW1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/755/GCF_000906755.1_ViralProj192871/GCF_000906755.1_ViralProj192871_genomic.fna.gz
Bacillus_virus_Finn	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/775/GCF_000906775.1_ViralProj192875/GCF_000906775.1_ViralProj192875_genomic.fna.gz
Loktanella_phage_pCB2051_A	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/875/GCF_000906875.1_ViralProj195476/GCF_000906875.1_ViralProj195476_genomic.fna.gz
Synechococcus_phage_S_CAM1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/915/GCF_000906915.1_ViralProj195484/GCF_000906915.1_ViralProj195484_genomic.fna.gz
Synechococcus_phage_S_RIM2_R1_1999	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/906/935/GCF_000906935.1_ViralProj195488/GCF_000906935.1_ViralProj195488_genomic.fna.gz
Cyanophage_SS120_1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/907/035/GCF_000907035.1_ViralProj195516/GCF_000907035.1_ViralProj195516_genomic.fna.gz
Bacillus_phage_PM1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/907/095/GCF_000907095.1_ViralProj195536/GCF_000907095.1_ViralProj195536_genomic.fna.gz
Vibrio_phage_helene_12B3	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/907/195/GCF_000907195.1_ViralProj198433/GCF_000907195.1_ViralProj198433_genomic.fna.gz
Cyanophage_Syn30	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/907/215/GCF_000907215.1_ViralProj198437/GCF_000907215.1_ViralProj198437_genomic.fna.gz
Tomato_leaf_curl_China_virus___OX2	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/907/295/GCF_000907295.1_ViralProj202888/GCF_000907295.1_ViralProj202888_genomic.fna.gz
Phaeocystis_globosa_virus	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/907/415/GCF_000907415.1_ViralProj206023/GCF_000907415.1_ViralProj206023_genomic.fna.gz
Mycobacterium_phage_HINdeR	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/907/455/GCF_000907455.1_ViralProj206031/GCF_000907455.1_ViralProj206031_genomic.fna.gz
Rhodococcus_phage_E3	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/907/535/GCF_000907535.1_ViralProj206474/GCF_000907535.1_ViralProj206474_genomic.fna.gz
Mycobacterium_phage_WIVsmall	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/907/575/GCF_000907575.1_ViralProj206482/GCF_000907575.1_ViralProj206482_genomic.fna.gz
Escherichia_phage_Lw1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/907/595/GCF_000907595.1_ViralProj206486/GCF_000907595.1_ViralProj206486_genomic.fna.gz
Halovirus_HRTV_8	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/907/615/GCF_000907615.1_ViralProj206490/GCF_000907615.1_ViralProj206490_genomic.fna.gz
Halovirus_HHTV_2	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/907/635/GCF_000907635.1_ViralProj206494/GCF_000907635.1_ViralProj206494_genomic.fna.gz
Halovirus_HCTV_2	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/907/655/GCF_000907655.1_ViralProj206498/GCF_000907655.1_ViralProj206498_genomic.fna.gz
Halovirus_HSTV_1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/907/675/GCF_000907675.1_ViralProj207837/GCF_000907675.1_ViralProj207837_genomic.fna.gz
Synechococcus_phage_S_CAM8	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/907/715/GCF_000907715.1_ViralProj209065/GCF_000907715.1_ViralProj209065_genomic.fna.gz
Alteromonas_phage_vB_AmaP_AD45_P1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/907/735/GCF_000907735.1_ViralProj209073/GCF_000907735.1_ViralProj209073_genomic.fna.gz
Mycobacterium_phage_BTCU_1	na	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/907/755/GCF_000907755.1_ViralProj209077/GCF_000907755.1_ViralProj209077_genomic.fna.gz
